feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
bsmtfintype1_Unf,1.9217681460277551e-07,,1.9217681460277551e-07,1,0.022124976733266327,0.02598046309819968,-0.0006883234622364398,103.0,45.0,87.0,234.0,117.25,189.0
alley_Pave,1.650611804001356e-07,,1.650611804001356e-07,1,0.0020041684252003616,0.006425310716522414,0.023412493280920897,104.0,168.5,164.0,64.0,125.125,104.5
alley_Grvl,1.650609491243768e-07,,1.650609491243768e-07,1,0.0020041684252003616,0.0052254667654572096,0.012607927596400259,105.0,168.5,178.0,74.0,131.375,104.0
kitchenqual_Gd,1.5754594765239792e-07,,1.5754594765239792e-07,1,0.023204639253144557,0.1574988278730982,0.02626543309088447,106.0,44.0,22.0,62.0,58.5,84.0
paveddrive_N,1.3482710907270255e-07,,1.3482710907270255e-07,1,0.006715685907895875,0.03842790104123739,-0.0034535014994617084,107.0,94.0,66.0,242.0,127.25,176.0
salecondition_Normal,9.466706560846073e-08,,9.466706560846073e-08,1,0.00829937851621162,0.0010369242011569746,-0.019376772631221683,108.0,88.0,211.0,252.0,164.75,164.0
bsmtfintype2_ALQ,6.194074235938815e-08,,6.194074235938815e-08,1,0.0013808977407422326,0.0009454794374914588,-0.00017991816930589265,109.0,189.0,214.0,229.0,185.25,120.0
housestyle_2Story,5.217537906465726e-08,,5.217537906465726e-08,1,0.030064723801822592,0.028033982235561083,-0.039562560046033465,110.0,29.0,83.0,258.0,120.0,229.0
bsmtfintype1_ALQ,4.935145336008265e-08,,4.935145336008265e-08,1,0.008902477634675275,0.037944860654976376,-0.020845627554081148,111.0,84.0,69.0,253.0,129.25,184.0
fireplacequ_Ex,4.427461875630716e-08,,4.427461875630716e-08,1,0.0017020586395390142,0.021902580711109287,0.0005364942953747232,112.0,178.0,98.0,83.0,117.75,95.0
exterior2nd_MetalSd,3.7088792680447926e-08,,3.7088792680447926e-08,1,0.006211343721747467,0.02321060503742345,0.0011649051659333054,113.0,99.0,96.0,81.0,97.25,32.0
